Sample Type,File Name,Order
Blank,Blank_no_inj1,1
QC,QC_Mix1,2
Blank,Blank_no_inj2,3
Unknown,52789,4
Unknown,44142,5
Unknown,44338,6
Unknown,53820,7
Unknown,50974,8
Unknown,92185,9
Unknown,23886,10
Unknown,23902,11
Unknown,41909,12
Unknown,38825,13
Unknown,42468,14
Blank,Blank_no_inj3,15
Blank,Blank_Solvent1,16
Unknown,53070,17
Unknown,50954,18
Unknown,39079,19
Unknown,59542,20
Unknown,53772,21
Unknown,40941,22
Unknown,53378,23
Unknown,39568,24
Unknown,41692,25
Unknown,41762,26
Unknown,39901,27
Blank,Blank_no_inj4,28
Blank,Blank_Solvent2,29
Unknown,48108,30
Unknown,43943,31
Unknown,50976,32
Unknown,49183,33
Unknown,44131,34
Unknown,23900,35
Unknown,42788,36
Unknown,32642,37
Unknown,42167,38
Unknown,23802,39
Unknown,42721,40
Unknown,Blank_no_inj5,41
QC,QC_Mix2,42
Unknown,42456,43
Unknown,50389,44
Unknown,59488,45
Unknown,50242,46
Unknown,52037,47
Unknown,50102,48
Unknown,33651,49
Unknown,38805,50
Unknown,40449,51
Unknown,40705,52
Unknown,38840,53
Blank,Blank_no_inj6,54
Blank,Blank_Solvent3,55
Unknown,59338,56
Unknown,59282,57
Unknown,52036,58
Unknown,44161,59
Unknown,50436,60
Unknown,11996,61
Unknown,39547,62
Unknown,42203,63
Unknown,infantstool.21days.41875,64
Unknown,39896,65
Unknown,38798,66
Blank,Blank_no_inj7,67
Blank,Blank_Solvent4,68
Unknown,42503,69
Unknown,49594,70
Unknown,44648,71
Unknown,38208,72
Unknown,52215,73
Unknown,50097,74
Unknown,23208,75
Unknown,39084,76
Unknown,39917,77
Unknown,41512,78
Unknown,38776,79
Blank,Blank_no_inj8,80
Blank,Blank_Solvent5,81
Unknown,48968,82
Unknown,49682,83
Unknown,33812,84
Unknown,52192,85
Unknown,52014,86
Unknown,93126,87
Unknown,42706,88
Unknown,39767,89
Unknown,38815,90
Unknown,42180,91
Unknown,39932,92
Blank,Blank_no_inj9,93
QC,QC_Mix3,94
Unknown,33452,95
Unknown,52787,96
Unknown,79531,97
Unknown,43886,98
Unknown,49586,99
Unknown,50098,100
Unknown,40966,101
Unknown,42735,102
Unknown,38785,103
Unknown,42694,104
Unknown,42183,105
Blank,Blank_no_inj10,106
Blank,Blank_Solvent6,107
Unknown,102273,108
Unknown,98913,109
Unknown,95156,110
Unknown,39900,111
Unknown,40437,112
Unknown,93840,113
Unknown,39385,114
Unknown,38023,115
Unknown,33019,116
Unknown,42513,117
Unknown,95604,118
Blank,Blank_no_inj11,119
Blank,Blank_Solvent7,120
Unknown,39673,121
Unknown,78076,122
Unknown,39666,123
Unknown,94599,124
Unknown,98420,125
Unknown,113485,126
Unknown,38801,127
Unknown,32638,128
Unknown,43483,129
Unknown,32577,130
Unknown,104580,131
Blank,Blank_no_inj12,132
Blank,Blank_Solvent8,133
Unknown,33333,134
Unknown,23810,135
Unknown,94115,136
Unknown,101671,137
Unknown,99362,138
Unknown,100328,139
Unknown,40428,140
Unknown,33002,141
Unknown,33653,142
Unknown,39138,143
Unknown,95512,144
Unknown,Blank_no_inj13,145
QC,QC_Mix4,146
Unknown,106107,147
Unknown,95284,148
Unknown,131401,149
Unknown,23901,150
Unknown,39558,151
Unknown,104557,152
Unknown,39301,153
Unknown,32820,154
Unknown,7316,155
Unknown,32189,156
Unknown,39555,157
Blank,Blank_no_inj14,158
Blank,Blank_Solvent9,159
Unknown,104253,160
Unknown,61350,161
Unknown,105424,162
Unknown,94116,163
Unknown,95523,164
Unknown,23534,165
Unknown,39126,166
Unknown,31950,167
Unknown,32600,168
Unknown,42521,169
Unknown,124307,170
Blank,Blank_no_inj15,171
Blank,Blank_Solvent10,172
Unknown,39551,173
Unknown,33338,174
Unknown,105761,175
Unknown,51456,176
Unknown,100334,177
Unknown,42196,178
Unknown,38830,179
Unknown,32576,180
Unknown,39559,181
Unknown,7622,182
Unknown,38788,183
Blank,Blank_no_inj16,184
Blank,Blank_Solvent11,185
Unknown,101270,186
Unknown,33005,187
Unknown,93750,188
Unknown,74099,189
Unknown,133390,190
Unknown,39074,191
Unknown,41696,192
Unknown,39776,193
Unknown,32636,194
Unknown,43307,195
Unknown,44640,196
Blank,Blank_no_inj17,197
QC,QC_Mix5,198
Unknown,99383,199
Unknown,95574,200
Unknown,105993,201
Unknown,39681,202
Unknown,133322,203
Unknown,42729,204
Unknown,23415,205
Unknown,39095,206
Unknown,23539,207
Unknown,33037,208
Unknown,105971,209
Blank,Blank_no_inj18,210
Blank,Blank_Solvent12,211
Unknown,41764,212
Unknown,33995,213
Unknown,33839,214
Unknown,33988,215
Unknown,33643,216
Unknown,39549,217
Unknown,23162,218
Unknown,33008,219
Unknown,76991,220
Unknown,22843,221
Unknown,33030,222
Blank,Blank_no_inj19,223
Blank,Blank_Solvent13,224
Unknown,32566,225
Unknown,40956,226
Unknown,7325,227
Unknown,23153,228
Unknown,32225,229
Unknown,40498,230
Unknown,32208,231
Unknown,32228,232
Unknown,62330,233
Unknown,33028,234
Unknown,33655,235
Blank,Blank_no_inj20,236
Blank,Blank_Solvent14,237
Unknown,32231,238
Unknown,32311,239
Unknown,41681,240
Unknown,7290,241
Unknown,33838,242
Unknown,32796,243
Unknown,23544,244
Unknown,70741,245
Unknown,69558,246
Unknown,39891,247
Unknown,23917,248
Unknown,Blank_no_inj21,249
QC,QC_Mix6,250
Unknown,42194,251
Unknown,40267,252
Unknown,33815,253
Unknown,40247,254
Unknown,32570,255
Unknown,33335,256
Unknown,33022,257
Unknown,59689,258
Unknown,43909,259
Unknown,41754,260
Unknown,23209,261
Blank,Blank_no_inj22,262
Blank,Blank_Solvent15,263
Unknown,23792,264
Unknown,33327,265
Unknown,33834,266
Unknown,40608,267
Unknown,33819,268
Unknown,23869,269
Unknown,40265,270
Unknown,82004,271
Unknown,62598,272
Unknown,39394,273
Unknown,29987,274
Blank,Blank_no_inj23,275
Blank,Blank_Solvent16,276
Unknown,41707,277
Unknown,41492,278
Unknown,23528,279
Unknown,41221,280
Unknown,33194,281
Unknown,33808,282
Unknown,33326,283
Unknown,48738,284
Unknown,62587,285
Unknown,33425,286
Unknown,39132,287
Blank,Blank_no_inj24,288
Blank,Blank_Solvent17,289
Unknown,7441,290
Unknown,40263,291
Unknown,41668,292
Unknown,33669,293
Unknown,32204,294
Unknown,33810,295
Unknown,23453,296
Unknown,69557,297
Unknown,61619,298
Unknown,39422,299
Unknown,23448,300
Blank,Blank_no_inj25,301
QC,QC_Mix7,302
Unknown,40431,303
Unknown,33183,304
Unknown,7608,305
Unknown,23149,306
Unknown,33646,307
Unknown,28696,308
Unknown,33409,309
Unknown,73131,310
Unknown,69003,311
Unknown,40446,312
Unknown,39386,313
Blank,Blank_no_inj26,314
Blank,Blank_Solvent18,315
Unknown,48969,316
Unknown,52208,317
Unknown,59311,318
Unknown,51489,319
Unknown,43634,320
Unknown,44309,321
Unknown,72228,322
Unknown,42164,323
Unknown,48280,324
Unknown,69044,325
Unknown,50435,326
Blank,Blank_no_inj27,327
Blank,Blank_Solvent19,328
Unknown,145477,329
Unknown,71064,330
Unknown,77168,331
Unknown,38196,332
Unknown,53487,333
Unknown,51798,334
Unknown,51093,335
Unknown,44884,336
Unknown,69336,337
Unknown,73092,338
Unknown,69577,339
Blank,Blank_no_inj28,340
Blank,Blank_Solvent20,341
Unknown,50240,342
Unknown,49014,343
Unknown,77696,344
Unknown,59765,345
Unknown,53062,346
Unknown,51917,347
Unknown,52205,348
Unknown,41476,349
Unknown,52201,350
Unknown,50812,351
Unknown,59711,352
Unknown,Blank_no_inj29,353
QC,QC_Mix8,354
Unknown,73084,355
Unknown,43888,356
Unknown,51107,357
Unknown,50257,358
Unknown,52850,359
Unknown,50940,360
Unknown,38416,361
Unknown,62344,362
Unknown,49842,363
Unknown,98920,364
Unknown,62049,365
Blank,Blank_no_inj30,366
Blank,Blank_Solvent21,367
Unknown,62352,368
Unknown,81774,369
Unknown,38128,370
Unknown,49564,371
Unknown,49593,372
Unknown,51908,373
Unknown,51500,374
Unknown,42719,375
Unknown,42511,376
Unknown,33016,377
Unknown,50803,378
Blank,Blank_no_inj31,379
Blank,Blank_Solvent22,380
Unknown,69964,381
Unknown,52415,382
Unknown,60565,383
Unknown,98870,384
Unknown,96816,385
Unknown,51808,386
Unknown,42527,387
Unknown,20924,388
Unknown,80276,389
Unknown,71100,390
